"","household_key","AGE_DESC","MARITAL_STATUS_CODE","INCOME_DESC","HOMEOWNER_DESC","HH_COMP_DESC","HOUSEHOLD_SIZE_DESC","KID_CATEGORY_DESC","DAY","STORE_ID","RETAIL_DISC","TRANS_TIME","WEEK_NO","COUPON_DISC","COUPON_MATCH_DISC","TotalValue","TRANS_TIME_Cat"
"1",1,6,1,4,1,3,2,0,706,436,0,1531,102,0,0,4330.15999999996,"evening"
"2",7,4,1,5,1,3,2,0,709,359,0,1849,102,0,0,3400.04999999998,"evening"
"3",8,2,3,3,5,2,3,1,706,321,0,1352,102,0,0,5534.96999999994,"evening"
"4",13,2,3,6,1,2,4,2,709,323,-0.01,1233,102,0,0,13190.92,"evening"
"5",16,4,2,5,1,4,1,0,690,309,0,1519,99,0,0,1512.02,"evening"
"6",17,6,2,1,1,3,2,0,689,34280,-0.01,1131,99,0,0,5139.62999999997,"morning"
"7",18,4,1,7,1,3,2,0,711,34011,0,1201,102,0,0,7118.90999999994,"afternoon"
"8",19,3,2,2,5,4,1,0,711,31401,-2.41,1153,102,0,0,11299.6099999999,"morning"
"9",20,2,1,6,4,3,2,0,711,316,-0.6,1549,102,0,0,7486.10999999996,"evening"
"10",22,4,1,6,1,3,2,0,711,370,-0.98,1508,102,0,0,6256.03999999996,"evening"
"11",25,3,3,5,5,6,1,0,705,356,-0.81,1904,101,0,0,3149.64999999999,"evening"
"12",27,4,3,3,3,4,1,0,711,359,-0.25,2059,102,0,0,5736.23999999994,"evening"
"13",31,3,2,4,1,3,2,0,710,369,0,1259,102,0,0,4396.89999999999,"evening"
"14",39,3,1,8,1,3,2,0,685,333,0,1616,99,0,0,5033.65999999995,"evening"
"15",40,4,3,1,1,3,2,0,710,406,-1.11,1232,102,0,0,12907.8899999999,"evening"
"16",42,6,3,5,5,5,1,0,710,380,-2,1322,102,0,0,1985.86,"evening"
"17",43,3,2,2,1,2,5,3,710,345,0,1948,102,0,0,884.840000000002,"evening"
"18",46,4,1,9,1,2,5,3,711,333,0,1614,102,0,0,8433.42999999989,"evening"
"19",48,1,3,4,1,3,2,0,709,370,0,1832,102,0,0,1172.83,"evening"
"20",49,3,1,4,1,3,2,0,702,356,-3.6,1947,101,0,0,6445.02999999995,"evening"
"21",52,4,2,5,1,3,2,0,711,406,-0.8,926,102,0,0,5487.27999999994,"morning"
"22",55,6,1,4,1,3,2,0,703,362,-1,902,101,0,0,1072.79,"morning"
"23",56,5,1,7,1,2,4,2,709,439,0,1414,102,0,0,6691.52999999993,"evening"
"24",57,4,2,4,1,3,2,0,709,298,-0.39,1715,102,0,0,3105.86999999999,"evening"
"25",58,2,1,9,1,2,4,2,711,402,-0.99,1358,102,0,0,10367.0799999999,"evening"
"26",67,4,1,1,1,2,5,3,709,415,0,2024,102,0,0,9618.89999999991,"evening"
"27",71,3,1,3,1,4,2,0,711,311,-2,1124,102,0,0,3376.02999999999,"morning"
"28",74,6,1,2,1,3,2,0,656,299,-2.99,1239,94,0,0,2047.64,"evening"
"29",77,3,1,7,1,2,5,3,710,346,0,1731,102,0,0,6227.09999999995,"evening"
"30",78,5,3,3,5,5,1,0,709,365,0,1148,102,0,0,2505.13999999999,"morning"
"31",80,4,3,5,1,3,2,0,694,412,0,1725,100,0,0,3002.08999999999,"evening"
"32",85,2,3,4,5,5,1,0,710,402,0,1941,102,0,0,4696.48999999996,"evening"
"33",86,6,2,4,1,5,1,0,673,338,0,2057,97,0,0,4019.43999999998,"evening"
"34",97,4,3,6,5,4,1,0,706,33923,0,1714,102,0,0,5323.94999999998,"evening"
"35",98,3,3,4,5,1,2,1,710,421,-2.41,2112,102,0,0,2547.3,"evening"
"36",101,4,1,1,1,2,4,2,708,343,-0.83,1711,102,0,0,6651.57999999999,"evening"
"37",104,3,1,4,1,2,5,3,711,421,-0.08,1304,102,0,0,6546.73999999997,"evening"
"38",105,2,2,1,1,1,3,2,710,321,0,1026,102,0,0,4591.66999999997,"morning"
"39",109,2,1,2,1,4,2,0,708,374,-0.79,1836,102,0,0,3501.06999999997,"evening"
"40",110,2,3,4,1,4,1,0,711,396,0,2027,102,0,0,3461.31999999999,"evening"
"41",113,3,1,8,1,2,4,2,709,34011,0,1305,102,0,0,15324.9499999999,"evening"
"42",114,2,3,4,1,3,2,0,708,31401,-0.49,1700,102,0,0,3315.62999999998,"evening"
"43",117,6,2,4,2,3,2,0,711,363,-0.52,1513,102,0,0,2568.21,"evening"
"44",118,4,2,4,1,4,1,0,707,422,0,1537,102,0,0,4526.20999999996,"evening"
"45",119,4,3,8,5,5,1,0,709,334,0,650,102,0,0,2593.01,"morning"
"46",121,4,3,3,5,2,3,1,669,381,0,2326,96,0,0,2225.58000000001,"evening"
"47",123,4,2,4,1,3,2,0,691,289,0,2153,99,0,0,3222.64999999999,"evening"
"48",127,4,3,3,5,4,1,0,711,31401,-1.22,930,102,0,0,4658.22999999997,"morning"
"49",131,4,3,5,5,3,2,0,709,333,0,1833,102,0,0,6156.21999999996,"evening"
"50",133,4,1,1,1,5,2,0,706,391,-1.52,1520,102,0,0,3823.88999999997,"evening"
"51",134,5,1,3,1,4,2,0,709,427,0,1711,102,0,0,5535.08999999995,"evening"
"52",136,4,3,5,5,6,1,0,694,300,-1.99,1811,100,0,0,2804.82,"evening"
"53",139,3,2,6,1,5,1,0,710,335,0,1859,102,0,0,3073.32999999999,"evening"
"54",149,4,3,4,1,3,2,0,651,327,-0.19,1326,94,0,0,11920.9299999999,"evening"
"55",155,3,2,5,1,2,3,1,705,402,-0.2,1618,101,0,0,2101.05,"evening"
"56",157,1,3,2,1,3,2,0,709,3383,0,1820,102,0,0,2748.94999999999,"evening"
"57",158,4,3,5,1,6,1,0,704,343,-1.49,1011,101,0,0,1869.79,"morning"
"58",159,4,3,1,1,3,2,0,697,313,0,1345,100,0,0,2143.87,"evening"
"59",161,1,1,6,5,2,3,1,710,319,0,1947,102,0,0,6071.51999999996,"evening"
"60",164,4,3,4,5,3,2,0,708,404,0,2354,102,0,0,4272.40999999997,"evening"
"61",165,5,1,4,1,3,2,0,710,321,-2.41,1155,102,0,0,2995.47,"morning"
"62",166,2,1,5,1,2,3,1,706,447,-1.2,1530,102,0,0,3059.69,"evening"
"63",170,2,1,7,1,2,4,2,693,391,0,1305,100,0,0,2024.51,"evening"
"64",178,2,1,3,1,1,5,3,711,304,0,650,102,0,0,2028.47,"morning"
"65",184,4,3,3,5,5,1,0,711,410,-0.6,824,102,0,0,7090.06999999995,"morning"
"66",192,4,1,4,1,5,2,0,710,321,0,1540,102,0,0,3778.07999999998,"evening"
"67",193,4,1,6,1,3,2,0,694,310,-0.6,1313,100,0,0,4814.65999999998,"evening"
"68",198,3,1,1,1,2,3,1,709,420,-0.69,1705,102,0,0,8659.16999999991,"evening"
"69",201,4,1,2,1,2,5,3,704,427,0,1650,101,0,0,1435.17,"evening"
"70",208,4,3,5,1,3,2,0,701,327,-0.2,1904,101,0,0,4296.32999999998,"evening"
"71",209,4,3,3,1,2,3,1,710,422,-0.22,947,102,0,0,6876.55999999996,"morning"
"72",211,6,1,4,1,4,2,0,710,321,-0.38,645,102,0,0,2244.06,"morning"
"73",212,3,3,1,5,4,1,0,697,288,0,1937,100,0,0,3052.65999999998,"evening"
"74",214,5,2,1,1,3,2,0,704,401,-2.4,1230,101,0,0,2657.90999999999,"evening"
"75",216,3,3,5,1,6,1,0,711,427,0,2054,102,0,0,2624.5,"evening"
"76",218,4,1,2,1,3,2,0,711,321,-0.92,1059,102,0,0,9211.71999999992,"morning"
"77",219,5,1,9,1,3,2,0,709,355,0,1345,102,0,0,11884.7899999999,"evening"
"78",220,4,1,4,1,3,2,0,679,382,-0.96,1822,98,0,0,2525.24,"evening"
"79",221,6,3,2,5,6,1,0,695,422,-2.39,1940,100,0,0,2879.29,"evening"
"80",222,3,1,4,5,3,2,0,709,304,0,1638,102,0,0,5897.89999999992,"evening"
"81",230,2,3,3,5,4,1,0,711,422,-0.19,1300,102,0,0,4521.00999999997,"evening"
"82",232,3,3,4,5,3,2,0,672,34280,-2,1708,97,0,0,12695.5699999999,"evening"
"83",235,3,1,12,1,2,5,3,708,315,0,1818,102,0,0,12156.6399999999,"evening"
"84",239,4,3,5,4,6,1,0,711,388,-1.25,1035,102,0,0,4671.19999999995,"morning"
"85",242,4,1,6,1,2,5,3,711,401,-0.09,1531,102,0,0,5231.79999999997,"evening"
"86",243,6,3,5,1,3,2,0,710,323,0,1746,102,0,0,8074.1199999999,"evening"
"87",248,3,1,8,1,2,4,2,704,34011,-0.56,1634,101,0,0,6039.00999999996,"evening"
"88",249,3,1,1,4,6,3,1,704,289,-0.52,1327,101,-0.75,-0.25,2823.22999999999,"evening"
"89",250,4,1,6,1,1,4,2,706,369,-1.7,1146,102,0,0,5991.83999999994,"morning"
"90",253,4,3,1,5,4,1,0,710,343,0,1601,102,0,0,10993.7099999999,"evening"
"91",256,2,3,5,1,3,2,0,711,424,0,2036,102,0,0,9850.34999999989,"evening"
"92",257,2,3,3,5,1,3,2,698,445,-0.98,1520,100,0,0,2689.99,"evening"
"93",263,4,3,4,5,3,2,0,708,372,-0.29,1257,102,0,0,5870.32999999994,"evening"
"94",264,4,3,6,1,3,2,0,680,443,-2.89,2105,98,0,0,1783.07,"evening"
"95",276,3,3,4,5,5,1,0,709,411,-0.95,1649,102,0,0,5758.70999999995,"evening"
"96",281,3,2,5,1,4,1,0,706,429,0,2026,102,0,0,1495.08,"evening"
"97",282,4,3,4,5,4,1,0,711,415,0,2008,102,0,0,4162.55999999998,"evening"
"98",283,2,1,5,1,3,2,0,700,389,0,2259,101,0,0,6023.36999999993,"evening"
"99",289,4,2,7,1,5,1,0,698,429,-2,1649,100,0,0,5970.46999999995,"evening"
"100",290,2,3,4,5,3,2,0,710,367,0,1303,102,0,0,5524.33999999997,"evening"
"101",294,2,1,5,1,2,4,2,710,420,-0.12,216,102,0,0,5411.35999999997,"morning"
"102",300,5,1,1,5,4,2,0,685,401,0,2031,99,0,0,4974.30999999996,"evening"
"103",301,3,1,4,1,2,4,2,711,432,0,1033,102,0,0,7211.67999999993,"morning"
"104",302,4,3,4,1,2,3,1,691,421,0,1657,99,0,0,1797.53,"evening"
"105",304,2,3,5,5,3,2,0,711,322,-1.3,1313,102,0,0,8586.27999999995,"evening"
"106",306,1,3,4,1,2,4,2,711,315,-0.79,1918,102,0,0,5716.72999999996,"evening"
"107",309,2,1,6,1,5,2,0,624,367,0,1933,90,0,0,2325.59,"evening"
"108",314,4,3,6,1,2,3,1,707,334,-0.62,1606,102,0,0,3004.00999999999,"evening"
"109",317,4,1,6,1,5,2,0,710,356,0,2135,102,-0.25,-0.25,6083.29999999995,"evening"
"110",319,4,3,4,1,1,4,3,690,408,0,1723,99,0,0,3758.49999999998,"evening"
"111",321,4,1,7,1,3,2,0,690,450,0,1038,99,0,0,5935.65999999995,"morning"
"112",324,4,3,5,5,4,1,0,711,442,-0.39,1733,102,0,0,8554.86999999988,"evening"
"113",325,3,1,6,1,2,4,2,698,427,-0.3,1924,100,0,0,2850.58,"evening"
"114",329,2,3,6,5,4,1,0,706,369,-1.32,1815,102,0,0,3026.70999999999,"evening"
"115",332,3,1,8,1,2,5,3,707,346,0,1902,102,0,0,5519.01999999995,"evening"
"116",334,4,1,1,1,3,2,0,711,293,0,1611,102,0,0,4827.79999999997,"evening"
"117",346,6,1,5,1,3,2,0,706,415,-0.2,1029,102,0,0,5351.40999999999,"morning"
"118",350,4,1,5,1,1,4,2,710,382,0,1638,102,0,0,3083.24999999999,"evening"
"119",351,4,3,5,5,6,1,0,709,311,0,933,102,0,0,7659.66999999987,"morning"
"120",353,4,1,9,1,3,2,0,700,333,0,1505,101,0,0,3799.19999999998,"evening"
"121",354,2,1,4,1,2,5,3,709,346,0,1518,102,0,0,8729.86999999988,"evening"
"122",358,3,3,5,1,3,2,0,711,439,0,1000,102,0,0,12729.3399999999,"morning"
"123",361,4,3,5,5,6,1,0,711,443,-1.1,1413,102,0,0,8747.09999999993,"evening"
"124",362,6,3,5,5,5,1,0,706,375,-0.01,1023,102,0,0,2987.48999999999,"morning"
"125",367,5,1,5,1,3,2,0,708,368,-1.5,1630,102,0,0,7186.36999999995,"evening"
"126",370,6,3,5,5,3,2,0,556,329,-2.07,1355,80,0,0,3386.77999999999,"evening"
"127",371,3,1,6,1,2,3,1,711,324,0,1201,102,0,0,15716.5399999999,"afternoon"
"128",377,4,1,5,1,3,2,0,711,424,-0.1,1734,102,0,0,3166.44999999998,"evening"
"129",378,5,1,5,1,4,2,0,708,375,0,1600,102,0,0,4715.41999999996,"evening"
"130",381,2,2,4,1,1,2,1,699,292,0,1801,101,0,0,3120.78999999999,"evening"
"131",383,4,3,5,1,6,1,0,693,400,-2.1,1247,100,0,0,5763.43999999994,"evening"
"132",385,2,1,5,1,2,5,3,701,32004,0,1446,101,0,0,2929.71999999999,"evening"
"133",386,3,2,3,2,4,1,0,710,289,0,1719,102,0,0,4676.42999999998,"evening"
"134",387,2,2,5,1,4,1,0,704,448,0,1844,101,0,0,5697.24999999994,"evening"
"135",389,3,3,9,2,4,1,0,710,406,0,1429,102,-2,0,14880.9199999999,"evening"
"136",390,4,2,3,4,4,1,0,709,447,0,1314,102,0,0,1806.02,"evening"
"137",391,6,2,3,5,4,1,0,613,443,0,1746,88,0,0,1412.64,"evening"
"138",392,3,1,12,1,2,3,1,709,31782,-1.7,1941,102,0,0,11443.9699999999,"evening"
"139",395,3,3,3,5,5,1,0,710,289,0,2242,102,0,0,872.91,"evening"
"140",400,3,1,9,1,2,3,1,711,338,0,1416,102,0,0,18494.14,"evening"
"141",404,2,1,3,5,6,2,0,709,396,0,1520,102,0,0,6107.17999999991,"evening"
"142",409,1,2,3,1,3,2,0,709,412,-1.19,1751,102,0,0,4499.84999999997,"evening"
"143",410,5,1,4,1,2,5,3,711,370,0,957,102,0,0,1148.42,"morning"
"144",411,3,3,1,5,3,2,0,705,382,0,1710,101,0,0,6697.20999999996,"evening"
"145",412,6,1,2,1,4,2,0,711,313,-0.5,1814,102,0,0,2426.3,"evening"
"146",413,4,3,7,5,6,1,0,702,448,0,2014,101,0,0,5963.77999999995,"evening"
"147",417,4,1,4,5,4,2,0,703,316,-0.49,1748,101,0,0,3012.95999999999,"evening"
"148",418,3,3,4,5,2,3,1,711,384,-0.14,1905,102,0,0,6960.9599999999,"evening"
"149",426,4,3,5,1,3,2,0,710,406,0,1530,102,0,0,7860.84999999994,"evening"
"150",428,1,3,5,2,3,2,0,693,443,-2.58,606,100,0,0,3361.42999999999,"morning"
"151",432,1,3,3,5,4,1,0,711,368,0,2014,102,0,0,3486.55,"evening"
"152",434,3,1,2,1,2,3,1,708,381,0,1006,102,0,0,3778.74999999998,"morning"
"153",437,2,1,5,1,2,5,3,708,34280,-1.23,1725,102,0,0,5915.72999999994,"evening"
