AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key
6,1,4,1,3,2,0,1
4,1,5,1,3,2,0,7
2,3,3,5,2,3,1,8
2,3,6,1,2,4,2,13
4,2,5,1,4,1,0,16
6,2,1,1,3,2,0,17
4,1,7,1,3,2,0,18
3,2,2,5,4,1,0,19
2,1,6,4,3,2,0,20
4,1,6,1,3,2,0,22
3,3,5,5,6,1,0,25
4,3,3,3,4,1,0,27
3,2,4,1,3,2,0,31
3,1,8,1,3,2,0,39
4,3,1,1,3,2,0,40
6,3,5,5,5,1,0,42
3,2,2,1,2,5,3,43
4,1,9,1,2,5,3,46
1,3,4,1,3,2,0,48
3,1,4,1,3,2,0,49
4,2,5,1,3,2,0,52
6,1,4,1,3,2,0,55
5,1,7,1,2,4,2,56
4,2,4,1,3,2,0,57
2,1,9,1,2,4,2,58
4,1,1,1,2,5,3,67
3,1,3,1,4,2,0,71
6,1,2,1,3,2,0,74
3,1,7,1,2,5,3,77
5,3,3,5,5,1,0,78
4,3,5,1,3,2,0,80
2,3,4,5,5,1,0,85
6,2,4,1,5,1,0,86
4,3,6,5,4,1,0,97
3,3,4,5,1,2,1,98
4,1,1,1,2,4,2,101
3,1,4,1,2,5,3,104
2,2,1,1,1,3,2,105
2,1,2,1,4,2,0,109
2,3,4,1,4,1,0,110
3,1,8,1,2,4,2,113
2,3,4,1,3,2,0,114
6,2,4,2,3,2,0,117
4,2,4,1,4,1,0,118
4,3,8,5,5,1,0,119
4,3,3,5,2,3,1,121
4,2,4,1,3,2,0,123
4,3,3,5,4,1,0,127
4,3,5,5,3,2,0,131
4,1,1,1,5,2,0,133
5,1,3,1,4,2,0,134
4,3,5,5,6,1,0,136
3,2,6,1,5,1,0,139
4,3,4,1,3,2,0,149
3,2,5,1,2,3,1,155
1,3,2,1,3,2,0,157
4,3,5,1,6,1,0,158
4,3,1,1,3,2,0,159
1,1,6,5,2,3,1,161
4,3,4,5,3,2,0,164
5,1,4,1,3,2,0,165
2,1,5,1,2,3,1,166
2,1,7,1,2,4,2,170
2,1,3,1,1,5,3,178
4,3,3,5,5,1,0,184
4,1,4,1,5,2,0,192
4,1,6,1,3,2,0,193
3,1,1,1,2,3,1,198
4,1,2,1,2,5,3,201
4,3,5,1,3,2,0,208
4,3,3,1,2,3,1,209
6,1,4,1,4,2,0,211
3,3,1,5,4,1,0,212
5,2,1,1,3,2,0,214
3,3,5,1,6,1,0,216
4,1,2,1,3,2,0,218
5,1,9,1,3,2,0,219
4,1,4,1,3,2,0,220
6,3,2,5,6,1,0,221
3,1,4,5,3,2,0,222
2,3,3,5,4,1,0,230
3,3,4,5,3,2,0,232
3,1,12,1,2,5,3,235
4,3,5,4,6,1,0,239
4,1,6,1,2,5,3,242
6,3,5,1,3,2,0,243
3,1,8,1,2,4,2,248
3,1,1,4,6,3,1,249
4,1,6,1,1,4,2,250
4,3,1,5,4,1,0,253
2,3,5,1,3,2,0,256
2,3,3,5,1,3,2,257
4,3,4,5,3,2,0,263
4,3,6,1,3,2,0,264
3,3,4,5,5,1,0,276
3,2,5,1,4,1,0,281
4,3,4,5,4,1,0,282
2,1,5,1,3,2,0,283
4,2,7,1,5,1,0,289
2,3,4,5,3,2,0,290
2,1,5,1,2,4,2,294
5,1,1,5,4,2,0,300
3,1,4,1,2,4,2,301
4,3,4,1,2,3,1,302
2,3,5,5,3,2,0,304
1,3,4,1,2,4,2,306
2,1,6,1,5,2,0,309
4,3,6,1,2,3,1,314
4,1,6,1,5,2,0,317
4,3,4,1,1,4,3,319
4,1,7,1,3,2,0,321
4,3,5,5,4,1,0,324
3,1,6,1,2,4,2,325
2,3,6,5,4,1,0,329
3,1,8,1,2,5,3,332
4,1,1,1,3,2,0,334
6,1,5,1,3,2,0,346
4,1,5,1,1,4,2,350
4,3,5,5,6,1,0,351
4,1,9,1,3,2,0,353
2,1,4,1,2,5,3,354
3,3,5,1,3,2,0,358
4,3,5,5,6,1,0,361
6,3,5,5,5,1,0,362
5,1,5,1,3,2,0,367
6,3,5,5,3,2,0,370
3,1,6,1,2,3,1,371
4,1,5,1,3,2,0,377
5,1,5,1,4,2,0,378
2,2,4,1,1,2,1,381
4,3,5,1,6,1,0,383
2,1,5,1,2,5,3,385
3,2,3,2,4,1,0,386
2,2,5,1,4,1,0,387
3,3,9,2,4,1,0,389
4,2,3,4,4,1,0,390
6,2,3,5,4,1,0,391
3,1,12,1,2,3,1,392
3,3,3,5,5,1,0,395
3,1,9,1,2,3,1,400
2,1,3,5,6,2,0,404
1,2,3,1,3,2,0,409
5,1,4,1,2,5,3,410
3,3,1,5,3,2,0,411
6,1,2,1,4,2,0,412
4,3,7,5,6,1,0,413
4,1,4,5,4,2,0,417
3,3,4,5,2,3,1,418
4,3,5,1,3,2,0,426
1,3,5,2,3,2,0,428
1,3,3,5,4,1,0,432
3,1,2,1,2,3,1,434
2,1,5,1,2,5,3,437
3,1,5,2,3,2,0,438
4,2,5,1,4,1,0,441
2,3,2,5,1,2,1,442
4,1,3,1,3,2,0,443
2,2,1,4,3,2,0,451
5,3,4,5,5,1,0,454
1,2,5,1,3,2,0,456
5,1,4,1,4,2,0,458
6,2,3,1,4,1,0,460
6,3,7,5,5,1,0,462
6,1,5,1,3,2,0,464
4,3,6,2,4,1,0,469
4,3,5,1,6,1,0,473
4,3,4,5,4,1,0,483
2,3,2,5,3,2,0,484
3,3,3,1,5,1,0,485
5,3,9,5,4,1,0,489
3,1,6,1,2,5,3,490
4,1,6,5,4,2,0,491
4,3,5,1,3,2,0,492
5,3,5,5,6,1,0,493
3,1,12,1,2,3,1,510
4,3,6,1,3,2,0,513
4,1,6,1,3,2,0,518
6,2,4,1,5,1,0,523
4,3,5,5,6,1,0,526
4,3,5,1,4,1,0,527
4,3,4,5,5,1,0,534
2,2,5,1,4,1,0,540
2,3,4,5,4,1,0,542
3,1,4,2,1,3,1,543
4,3,5,5,3,2,0,546
3,2,6,1,3,2,0,548
4,3,6,1,3,2,0,553
1,3,4,5,3,2,0,560
1,3,3,5,5,1,0,567
3,1,12,1,2,3,1,569
3,1,6,1,2,3,1,574
3,3,5,5,4,1,0,575
5,1,4,1,5,2,0,576
2,3,5,5,5,1,0,578
4,1,8,1,6,3,1,582
3,2,2,5,4,1,0,583
1,1,4,4,2,3,1,586
3,1,5,1,2,5,3,588
3,3,4,5,5,1,0,593
2,3,4,5,2,3,1,595
4,1,2,1,1,3,1,596
1,3,1,5,1,2,1,597
3,2,3,5,4,1,0,598
3,1,7,1,2,4,2,601
2,1,6,1,2,4,2,605
4,3,4,3,6,1,0,606
4,3,8,5,6,1,0,607
2,2,3,4,1,5,3,608
4,3,5,5,6,1,0,609
3,1,2,5,2,4,2,614
4,3,4,5,5,1,0,621
3,3,2,5,4,1,0,622
4,1,4,1,2,3,1,623
4,3,5,5,6,1,0,624
3,1,4,1,2,3,1,630
6,1,7,1,2,3,1,631
6,1,6,1,3,2,0,644
3,1,5,4,2,4,2,647
5,1,5,1,6,2,0,660
4,3,5,1,6,1,0,661
5,1,4,5,2,3,1,670
3,3,4,1,4,1,0,671
3,3,3,5,3,2,0,672
3,3,5,5,3,2,0,675
4,3,5,1,6,1,0,680
6,1,8,1,3,2,0,682
3,1,1,5,4,2,0,685
3,1,8,1,2,3,1,688
6,2,2,1,4,1,0,690
6,3,4,1,4,1,0,692
4,3,2,5,3,2,0,693
3,2,4,5,1,3,2,695
3,3,5,1,3,2,0,696
4,1,5,1,3,2,0,699
4,2,5,1,3,2,0,706
2,1,7,1,2,5,3,707
3,1,7,1,2,4,2,708
6,1,5,1,3,2,0,712
5,3,2,5,2,3,1,714
5,1,2,1,3,2,0,715
4,1,6,1,2,5,3,716
4,1,3,1,2,5,3,718
3,1,5,1,3,2,0,722
4,3,3,5,4,1,0,725
4,3,4,1,3,2,0,731
5,1,6,1,2,4,2,732
4,1,6,1,3,2,0,733
4,1,10,1,4,2,0,740
6,3,5,1,2,3,1,741
3,1,2,4,1,4,2,742
4,2,1,1,2,3,1,748
3,1,6,4,4,2,0,752
4,1,6,1,2,4,2,753
3,3,5,1,6,1,0,755
2,1,8,1,1,5,3,761
3,1,8,4,4,2,0,762
3,1,5,1,2,5,3,764
4,1,9,1,3,2,0,766
3,1,5,4,4,2,0,768
2,1,5,1,2,5,3,770
4,3,5,1,6,1,0,771
6,3,8,1,2,3,1,779
4,1,7,1,4,2,0,784
6,1,6,1,3,2,0,785
1,3,6,1,3,2,0,786
2,2,3,1,5,1,0,787
2,3,1,5,1,2,1,788
4,3,5,1,6,1,0,790
2,3,6,1,3,2,0,797
